                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.11.1"                               "gfortran"                                 "12.2.0"                   "x86_64-macos-22.10.1"                                 "CRMATH"                               "20240216"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                     2402                  5.5901699437494777E+001                  1.7474250108400471E+000                  1.9999999798840413E+001                  3.4599535901656523E+001                 -8.4438842842080035E+000                  8.8398860979222427E+000                  4.4167183166934226E-001                  7.8131070338695060E-008                  9.9999999505756265E-001                  9.9999996983519979E-001                  4.4199430934168177E-001                  7.8131070338695060E-008                  9.9768846099896580E-001                  9.9723378572136678E-001                  4.5932164191859259E+000                 -2.8136969870550274E+001                 -1.0439139835231284E+001                  4.5932164191859268E+000                  2.2758361678649157E+000                  4.5911201271500364E+000                 -2.8136969870550274E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4759812537920860E+033                  1.6096553446763974E+034                  1.7823491639281579E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2502690983258138E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5398994287023520E+000                  4.6500027976239693E+000                  7.6785570227177802E-001                  4.2033862140554330E+000                  0.0000000000000000E+000                  1.6421000715146203E+001                  6.6934902059563584E-001                  7.5506109160427730E+000                  6.1730253398146495E-001                  8.4954791177401134E-001                  1.2980214060238671E+000                  6.9909570315755520E-001                  2.8035067961852839E-001                  7.9907444994971690E-005                  9.3172748449781503E-003                  3.4468833607860798E-003                  9.3805276451495462E-003                  1.3991788879690967E+001                  5.6028544316606386E+000                                        0                                        7 
                                       2                                     1501                  1.2298373876248850E+002                  1.8266062568876720E+000                  1.9999999565268720E+001                  3.4599535896584584E+001                 -8.4581860404415945E+000                  7.2475975968637094E+000                  3.6140392004025157E-001                  7.8131069767444499E-008                  9.9999999505832782E-001                  9.9999996197195284E-001                  3.6140392004025157E-001                  7.8131069767444499E-008                  9.9916080533009610E-001                  9.9895769621412822E-001                  4.5893757815639953E+000                 -2.8129653509206236E+001                 -1.0837079843903322E+001                  4.5893757815639953E+000                  2.2637135280294518E+000                  4.5873191809919911E+000                 -2.8129653509206236E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4599274675655921E+033                  1.6114018832398954E+034                  1.7832022101984439E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2526307522426041E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5399381727362131E+000                  4.6497896524458744E+000                  7.6767164161500667E-001                  4.2037543302970306E+000                  0.0000000000000000E+000                  1.6421511510305603E+001                  6.6970335752043286E-001                  7.5507560410541990E+000                  6.1730431585427614E-001                  8.4954607084495648E-001                  1.2980261828254023E+000                  6.9909202613254073E-001                  2.8035406655918543E-001                  7.7633425438297323E-005                  9.3166794872808247E-003                  3.4468833607860785E-003                  9.3805276451495445E-003                  1.3991761814518711E+001                  5.6028790105051689E+000                                        0                                        4 
                                       3                                     1082                  2.0348218595248096E+002                  1.9057875029352966E+000                  1.9999999285227116E+001                  3.4599535890503553E+001                 -8.4585649441266906E+000                  7.7598566445292034E+000                  3.8523830259513159E-001                  7.8131076543403966E-008                  9.9999999505924775E-001                  9.9999996203474861E-001                  3.8523830259513159E-001                  7.8131076543403966E-008                  9.9763457310895420E-001                  9.9752484349549186E-001                  4.5865384738949437E+000                 -2.8120566153785951E+001                 -9.8999999999999986E+001                  4.5865384738949437E+000                  2.2516557578350018E+000                  4.5845251768556370E+000                 -2.8120566153785951E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4577339483984030E+033                  1.6155565527878147E+034                  1.7854878230922374E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2564383799486708E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5400222530633982E+000                  4.6497089593444141E+000                  7.6746313440990832E-001                  4.2041713386262005E+000                  0.0000000000000000E+000                  1.6422271077051686E+001                  6.7024748962238700E-001                  7.5509615105009846E+000                  6.1730617937310650E-001                  8.4954414016304136E-001                  1.2980311693907296E+000                  6.9908816954971953E-001                  2.8035767361668085E-001                  7.5574760051070331E-005                  9.3160455469338110E-003                  3.4468833607860763E-003                  9.3805276451495376E-003                  1.3991729590345159E+001                  5.6029087054445608E+000                                        0                                        3 
                                       4                                     1024                  3.0008032258047194E+002                  1.9849687489829215E+000                  1.9999998949165260E+001                  3.4599535883206066E+001                 -8.4585495318739383E+000                  8.0336456331979704E+000                  3.9887052769318021E-001                  7.8131076146533323E-008                  9.9999999506034931E-001                  9.9999996211267239E-001                  3.9887052769318021E-001                  7.8131076146533323E-008                  9.9817488210327110E-001                  9.9808425045864002E-001                  4.5844263029436672E+000                 -2.8109148186587653E+001                 -1.0536049848239340E+001                  4.5844263029436672E+000                  2.2383512947943918E+000                  4.5824643440076498E+000                 -2.8109148186587653E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4756947147985901E+033                  1.6172346510999165E+034                  1.7854472333721975E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2579759967225736E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5401255498678115E+000                  4.6496259042007226E+000                  7.6721501322923458E-001                  4.2046675736900578E+000                  0.0000000000000000E+000                  1.6423019519835510E+001                  6.7079823053759391E-001                  7.5511556256240020E+000                  6.1730833068863156E-001                  8.4954190510522432E-001                  1.2980369155954863E+000                  6.9908370465527692E-001                  2.8036191236573671E-001                  7.3565022399372916E-005                  9.3153003684030115E-003                  3.4468833607860794E-003                  9.3805276451495445E-003                  1.3991691159839197E+001                  5.6029446378484380E+000                                        0                                        3 
                                       5                                     1024                  4.1599808653406109E+002                  2.0641499950305464E+000                  1.9999998545840892E+001                  3.4599535874447987E+001                 -8.4584955286034553E+000                  8.1694289162888047E+000                  4.0786962070102523E-001                  7.8131079543621837E-008                  9.9999999506167325E-001                  9.9999996220607290E-001                  4.0786962070102523E-001                  7.8131079543621837E-008                  9.9858355393641340E-001                  9.9838813634100831E-001                  4.5831849839930223E+000                 -2.8095293847243095E+001                 -1.1138109839567303E+001                  4.5831849839930223E+000                  2.2234179048761891E+000                  4.5812840486157196E+000                 -2.8095293847243095E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4654854773144582E+033                  1.6061931007588577E+034                  1.7853897499357570E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2597587711848843E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5402515107422836E+000                  4.6495363785138082E+000                  7.6691832863683385E-001                  4.2052609341167813E+000                  0.0000000000000000E+000                  1.6423937223386190E+001                  6.7147797181277824E-001                  7.5513910067104186E+000                  6.1731085527217044E-001                  8.4953927504920379E-001                  1.2980436466545930E+000                  6.9907845027523563E-001                  2.8036697317151310E-001                  7.1632836423771818E-005                  9.3144102825491737E-003                  3.4468833607860759E-003                  9.3805276451495445E-003                  1.3991645235080593E+001                  5.6029881923779259E+000                                        0                                        2 
                                       6                                     1024                  5.5509940327836819E+002                  2.1433312410781711E+000                  1.9999998061749864E+001                  3.4599535863936083E+001                 -8.4584042074732633E+000                  8.2317326359898289E+000                  4.1085310049407536E-001                  7.8131080316556328E-008                  9.9999999506326132E-001                  9.9999996231833010E-001                  4.1085310049407536E-001                  7.8131080316556328E-008                  9.9784343199382686E-001                  9.9779269739572773E-001                  4.5828927510468080E+000                 -2.8078647568204730E+001                 -9.8999999999999986E+001                  4.5828927510468080E+000                  2.2058989342514570E+000                  4.5810658980548178E+000                 -2.8078647568204730E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4607218903091605E+033                  1.6055838589571627E+034                  1.7853157888132473E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2618960572839329E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5404027237687359E+000                  4.6494336557421043E+000                  7.6656454119807749E-001                  4.2059684984823900E+000                  0.0000000000000000E+000                  1.6425046839143295E+001                  6.7230310482371425E-001                  7.5516737385062260E+000                  6.1731393818700475E-001                  8.4953605501834806E-001                  1.2980518522962097E+000                  6.9907201669171704E-001                  2.8037325331757912E-001                  6.9766694383378917E-005                  9.3133050694072760E-003                  3.4468833607860807E-003                  9.3805276451495497E-003                  1.3991590234051424E+001                  5.6030410892457567E+000                                        0                                        3 
                                       7                                     1024                  7.2202098337153654E+002                  2.2225124871257962E+000                  1.9999997480680637E+001                  3.4599535851318322E+001                 -8.4582846133250857E+000                  8.2684724173330508E+000                  4.1085311243077888E-001                  7.8131080146255378E-008                  9.9999999506516779E-001                  9.9999996245260525E-001                  4.1342367294396570E-001                  7.8131080146255378E-008                  9.9916090947204506E-001                  9.9895780033490711E-001                  4.5839284649885714E+000                 -2.8059030661756641E+001                 -1.1138109839567303E+001                  4.5839284649885714E+000                  2.1858146140294199E+000                  4.5821885014337909E+000                 -2.8059030661756641E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4638111446252632E+033                  1.6056500801554018E+034                  1.7852263736645241E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2643917839055392E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5405798026615081E+000                  4.6493054871669361E+000                  7.6614629912494947E-001                  4.2068049700108867E+000                  0.0000000000000000E+000                  1.6426357505705411E+001                  6.7327906570172880E-001                  7.5520069684686346E+000                  6.1731767527267678E-001                  8.4953214207898453E-001                  1.2980617828208583E+000                  6.9906419791613761E-001                  2.8038098220819824E-001                  6.8078633851876145E-005                  9.3119438772581407E-003                  3.4468833607860772E-003                  9.3805276451495393E-003                  1.3991524155352954E+001                  5.6031054658365829E+000                                        0                                        2 
                                       8                                     1024                  9.2232687948333864E+002                  2.3016937331734209E+000                  1.9999996783201439E+001                  3.4599535836172748E+001                 -8.4581624729200016E+000                  8.2938246431188709E+000                  4.1382837587138260E-001                  7.8131085517667882E-008                  9.9999999506745585E-001                  9.9999996261142687E-001                  4.1382837587138260E-001                  7.8131085517667882E-008                  9.9886283433795331E-001                  9.9850751718293995E-001                  4.5866733297647322E+000                 -2.8036526432604393E+001                 -1.1138109839567303E+001                  4.5866733297647322E+000                  2.1639922358075485E+000                  4.5850292419827294E+000                 -2.8036526432604393E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4774103218210501E+033                  1.6066521038308979E+034                  1.7851235126267028E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2671903031034885E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5407811913496934E+000                  4.6491359197762465E+000                  7.6565873805323248E-001                  4.2077800770087501E+000                  0.0000000000000000E+000                  1.6427858718815955E+001                  6.7439560316160896E-001                  7.5523894618397582E+000                  6.1732209528857152E-001                  8.4952750368829177E-001                  1.2980735105293419E+000                  6.9905492849779727E-001                  2.8039024873940710E-001                  6.6703663497125678E-005                  9.3103103935966210E-003                  3.4468833607860811E-003                  9.3805276451495480E-003                  1.3991444439650186E+001                  5.6031839716214700E+000                                        0                                        2 
                                       9                                     1024                  1.1626939548175012E+003                  2.3808749792210455E+000                  1.9999995946060928E+001                  3.4599535817994472E+001                 -8.4580766210361524E+000                  8.3103919597304614E+000                  4.1382839319301085E-001                  7.8131087888722822E-008                  9.9999999507020321E-001                  9.9999996279623471E-001                  4.1551968221109681E-001                  7.8131087888722822E-008                  9.9886287614738956E-001                  9.9862075924540050E-001                  4.5909425147506884E+000                 -2.8011426028633306E+001                 -1.1138109839567303E+001                  4.5909425147506884E+000                  2.1393453022707214E+000                  4.5894045163953372E+000                 -2.8011426028633306E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5002877363577348E+033                  1.6084953325821611E+034                  1.7848145986845598E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2702463571423073E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5410037153173732E+000                  4.6489071626497944E+000                  7.6509931155464717E-001                  4.2088989118276423E+000                  0.0000000000000000E+000                  1.6429525093705777E+001                  6.7563123669749292E-001                  7.5528164225453960E+000                  6.1732751623206827E-001                  8.4952180530460808E-001                  1.2980878777250944E+000                  6.9904353950864595E-001                  2.8040172997921448E-001                  6.5597705909937765E-005                  9.3082844554117257E-003                  3.4468833607860798E-003                  9.3805276451495428E-003                  1.3991347917854354E+001                  5.6032798830542951E+000                                        0                                        3 
