                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-macos-24.7.1"                                 "CRMATH"                               "20250113"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                    3045                                     1704                  8.1850503769958550E+006                 -8.0013396274920889E-001                  6.5692380430486663E+000                  3.4116020909617589E+001                 -1.5228787452803374E+000                  0.0000000000000000E+000                  6.0588582339537622E-001                  4.8511690776706140E-001                  4.7511418685807827E-001                  3.8224431284725086E-001                  6.3060152434680639E-001                  3.7242244119294871E-001                  8.9606520174926685E-001                  7.2409865426605569E-001                  1.2798878540856407E-001                  4.7126251918768771E+000                  4.6829996533301941E+000                  4.9991008272941482E+000                 -2.5120026555067381E+000                  1.2699271322687802E-001                  4.7126251918768771E+000                  3.3734301890914870E+033                  3.5119324469289940E+033                  5.7993339215064265E+033                  6.4914270900697104E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797151E+000                  2.2076215525234302E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6720762128991389E+000                  5.0760023397129714E+000                  2.7165019049227044E+000                 -1.7742118328535467E-001                  0.0000000000000000E+000                  2.1269591032366847E+001                  4.8583489289177804E+000                  8.6847469204978438E+000                  1.7556944828713950E+000                  4.9999999999999994E-001                  1.4372941745291625E+001                  1.0000010393648759E-099                  4.6189735145075784E-015                  3.5602885705833659E-001                  6.1937853747275429E-001                  1.9220643979852839E-003                  7.7460186470813272E-003                  2.0408431187720122E-001                  3.7445888472463258E+000                                        0                                        6 
                                    3046                                     1699                  8.1850505354362940E+006                 -8.0013396274920889E-001                  6.5644848298765615E+000                  3.4115706559396855E+001                 -1.5228787452803374E+000                  0.0000000000000000E+000                  6.0632453329435076E-001                  4.8546193356415551E-001                  4.7545820761061763E-001                  3.8254807436247107E-001                  6.3105813039427761E-001                  3.7269214776799720E-001                  8.9671402477656947E-001                  7.2462295972955171E-001                  1.2796989419607430E-001                  4.7126237215644720E+000                  4.6830022573769101E+000                  4.9991013244487066E+000                 -2.5120115264181426E+000                  1.2697379900577604E-001                  4.7126237215644720E+000                  3.3734419449191457E+033                  3.5119428545784724E+033                  5.7993318841529192E+033                  6.4914232117935083E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797044E+000                  2.2076215525234075E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6756675367814475E+000                  5.0801382448152417E+000                  2.7113872097092222E+000                 -1.6750614307912393E-001                  0.0000000000000000E+000                  2.1269599326223595E+001                  4.8583557663983772E+000                  8.6847483756562571E+000                  1.7556944828773104E+000                  5.0000000000000000E-001                  1.4372941745688106E+001                  1.0000010394949060E-099                  4.6191954468548848E-015                  3.5602885701187142E-001                  6.1937853744400317E-001                  1.9220643974520511E-003                  7.7460186470812683E-003                  2.0095306425813450E-001                  3.7430611472945627E+000                                        0                                        5 
                                    3047                                     1704                  8.1850506938767331E+006                 -8.0013396274920889E-001                  6.5597316167044566E+000                  3.4115391981478915E+001                 -1.5228787452803374E+000                  0.0000000000000000E+000                  6.0676387897594475E-001                  4.8581825532115747E-001                  4.7580272692135150E-001                  3.8280389348762583E-001                  6.3151539815963931E-001                  3.7296224535848327E-001                  8.9736378808446327E-001                  7.2514802502158493E-001                  1.2794910464998821E-001                  4.7126221483178101E+000                  4.6830047967460802E+000                  4.9991017371305242E+000                 -2.5120216780246203E+000                  1.2695298503227406E-001                  4.7126221483178101E+000                  3.3734537074468070E+033                  3.5119532695637045E+033                  5.7993297931872280E+033                  6.4914192612175722E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850796893E+000                  2.2076215525233982E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6784813145808588E+000                  5.0793337916669525E+000                  2.7053574275362555E+000                 -1.5576115665113560E-001                  0.0000000000000000E+000                  2.1269607616510456E+001                  4.8583626015358048E+000                  8.6847498296849199E+000                  1.7556944828832273E+000                  5.0000000000000000E-001                  1.4372941746084635E+001                  1.0000010396249532E-099                  4.6194172197164236E-015                  3.5602885696540015E-001                  6.1937853741524806E-001                  1.9220643962651409E-003                  7.7460186470811425E-003                  1.9782181663906967E-001                  3.7415334473443145E+000                                        0                                        5 
                                    3048                                     1693                  8.1850508523171730E+006                 -8.0013396274920889E-001                  6.5549784035323517E+000                  3.4115077175533656E+001                 -1.5228787452803374E+000                  0.0000000000000000E+000                  6.0720386182323538E-001                  4.8617078001359887E-001                  4.7614774587484221E-001                  3.8308096105396650E-001                  6.3197332908238835E-001                  3.7323273475610502E-001                  8.9801449371842912E-001                  7.2567385179508126E-001                  1.2792626016923428E-001                  4.7126204647111418E+000                  4.6830072659378681E+000                  4.9991020588422463E+000                 -2.5120332160256673E+000                  1.2693011458830872E-001                  4.7126204647111418E+000                  3.3734654769802011E+033                  3.5119636924526342E+033                  5.7993276442092776E+033                  6.4914152326988343E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797000E+000                  2.2076215525234089E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6814214362242161E+000                  5.0784038669617120E+000                  2.6990122218969206E+000                 -1.4338555131772135E-001                  0.0000000000000000E+000                  2.1269615902919313E+001                  4.8583694348469102E+000                  8.6847512818859709E+000                  1.7556944828891445E+000                  5.0000000000000011E-001                  1.4372941746481223E+001                  1.0000010397550173E-099                  4.6196387291839909E-015                  3.5602885691892272E-001                  6.1937853738648918E-001                  1.9220643940103823E-003                  7.7460186470808988E-003                  1.9469056902000897E-001                  3.7400057473958270E+000                                        0                                        5 
                                    3049                                     1694                  8.1850510107576121E+006                 -8.0013396274920889E-001                  6.5502251903602469E+000                  3.4114762141230266E+001                 -1.5228787452803374E+000                  0.0000000000000000E+000                  6.0764448322331077E-001                  4.8652373848956787E-001                  4.7649326555879123E-001                  3.8335854545487441E-001                  6.3243192460619524E-001                  3.7350361678570715E-001                  8.9866614372987808E-001                  7.2620044170775955E-001                  1.2790162562631319E-001                  4.7126186851971061E+000                  4.6830096740555787E+000                  4.9991023014566833E+000                 -2.5120459617584805E+000                  1.2690545274423273E-001                  4.7126186851971061E+000                  3.3734772530289293E+033                  3.5119741224055660E+033                  5.7993254446818919E+033                  6.4914111364863161E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797097E+000                  2.2076215525234248E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6845552257979191E+000                  5.0777804851357962E+000                  2.6924329518365577E+000                 -1.3054204550038345E-001                  0.0000000000000000E+000                  2.1269624185952988E+001                  4.8583762648592730E+000                  8.6847527339234887E+000                  1.7556944828950631E+000                  4.9999999999999994E-001                  1.4372941746877851E+001                  1.0000010398850988E-099                  4.6198602228499478E-015                  3.5602885687243913E-001                  6.1937853735772630E-001                  1.9220643901930511E-003                  7.7460186470804850E-003                  1.9155932140095358E-001                  3.7384780474493158E+000                                        0                                        5 
                                    3050                                     1694                  8.1850511691980511E+006                 -8.0013396274920889E-001                  6.5454719771881411E+000                  3.4114446878237210E+001                 -1.5228787452803374E+000                  0.0000000000000000E+000                  6.0808574456728870E-001                  4.8687715992951203E-001                  4.7683928706406647E-001                  3.8363662504100943E-001                  6.3289118617892604E-001                  3.7377489229070515E-001                  8.9931874017618496E-001                  7.2672779642215657E-001                  1.2787508850733345E-001                  4.7126168043201684E+000                  4.6830120172776821E+000                  4.9991024603062693E+000                 -2.5120599911861499E+000                  1.2687888690210683E-001                  4.7126168043201684E+000                  3.3734890358114800E+033                  3.5119845598313331E+033                  5.7993231914265736E+033                  6.4914069687232356E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797151E+000                  2.2076215525234315E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6878253902333999E+000                  5.0771433280087708E+000                  2.6855740444020824E+000                 -1.1713949362448971E-001                  0.0000000000000000E+000                  2.1269632465387676E+001                  4.8583830934554211E+000                  8.6847541840320037E+000                  1.7556944829009822E+000                  5.0000000000000011E-001                  1.4372941747274540E+001                  1.0000010400151975E-099                  4.6200814382658278E-015                  3.5602885682594948E-001                  6.1937853732895998E-001                  1.9220643846919704E-003                  7.7460186470798935E-003                  1.8842807378190893E-001                  3.7369503475050601E+000                                        0                                        5 
                                    3051                                     1687                  8.1850513276384901E+006                 -8.0013396274920889E-001                  6.5407187640160380E+000                  3.4114131386222226E+001                 -1.5228787452803374E+000                  0.0000000000000000E+000                  6.0852764725032615E-001                  4.8723106331566524E-001                  4.7718581148469835E-001                  3.8391517769413913E-001                  6.3335111525264964E-001                  3.7404656212150367E-001                  8.9997228512069660E-001                  7.2725591760563590E-001                  1.2784658863976345E-001                  4.7126148192681772E+000                  4.6830142935687302E+000                  4.9991025329534695E+000                 -2.5120753449596163E+000                  1.2685035684444415E-001                  4.7126148192681772E+000                  3.3735008254470047E+033                  3.5119950049588384E+033                  5.7993208827453506E+033                  6.4914027274015876E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850796920E+000                  2.2076215525234031E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6912872923598745E+000                  5.0765614846607283E+000                  2.6783593184751129E+000                 -1.0302553378553977E-001                  0.0000000000000000E+000                  2.1269640741098129E+001                  4.8583899203769825E+000                  8.6847556323191153E+000                  1.7556944829069028E+000                  4.9999999999999983E-001                  1.4372941747671273E+001                  1.0000010401453131E-099                  4.6203023911452100E-015                  3.5602885677945362E-001                  6.1937853730018932E-001                  1.9220643777781987E-003                  7.7460186470791502E-003                  1.8529682616287793E-001                  3.7354226475632628E+000                                        0                                        5 
                                    3052                                     1682                  8.1850514860789292E+006                 -8.0013396274920889E-001                  6.5359655508439332E+000                  3.4113815664852318E+001                 -1.5228787452803374E+000                  0.0000000000000000E+000                  6.0897019267165997E-001                  4.8758546017266080E-001                  4.7753283991792078E-001                  3.8419418793615656E-001                  6.3381171328368080E-001                  3.7431862714882558E-001                  9.0062678063278379E-001                  7.2778480693043135E-001                  1.2781613232893815E-001                  4.7126127306275452E+000                  4.6830165031570061E+000                  4.9991025198120900E+000                 -2.5120920188704172E+000                  1.2681986888126182E-001                  4.7126127306275452E+000                  3.3735126219290743E+033                  3.5120054577896492E+033                  5.7993185188081983E+033                  6.4913984129116717E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797097E+000                  2.2076215525234164E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6948225165828612E+000                  5.0759418325835171E+000                  2.6709790439905339E+000                 -8.8580706186288910E-002                  0.0000000000000000E+000                  2.1269649013112122E+001                  4.8583967462994480E+000                  8.6847570782446830E+000                  1.7556944829128227E+000                  5.0000000000000000E-001                  1.4372941748068063E+001                  1.0000010402754460E-099                  4.6205230011743660E-015                  3.5602885673295170E-001                  6.1937853727141523E-001                  1.9220643698894578E-003                  7.7460186470783001E-003                  1.8216557854386367E-001                  3.7338949476241932E+000                                        0                                        5 
                                    3053                                     1683                  8.1850516445193682E+006                 -8.0013396274920889E-001                  6.5312123376718283E+000                  3.4113499713793779E+001                 -1.5228787452803374E+000                  0.0000000000000000E+000                  6.0941338223456787E-001                  4.8794035795588536E-001                  4.7788037346413337E-001                  3.8447364478075213E-001                  6.3427298173254221E-001                  3.7459108826036175E-001                  9.0128222878781195E-001                  7.2831446607361616E-001                  1.2778381041749071E-001                  4.7126105433659067E+000                  4.6830186491668551E+000                  4.9991024249609515E+000                 -2.5121099516687595E+000                  1.2678751392301912E-001                  4.7126105433659067E+000                  3.3735244250898705E+033                  3.5120159180378976E+033                  5.7993161021874123E+033                  6.4913940287255294E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850796760E+000                  2.2076215525233938E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6987390422778157E+000                  5.0756746343368437E+000                  2.6630123934772869E+000                 -7.2963356218335107E-002                  0.0000000000000000E+000                  2.1269657281587310E+001                  4.8584035666070537E+000                  8.6847585257995714E+000                  1.7556944829187444E+000                  4.9999999999999994E-001                  1.4372941748464907E+001                  1.0000010404055959E-099                  4.6207438617014439E-015                  3.5602885668644374E-001                  6.1937853724263714E-001                  1.9220643614615948E-003                  7.7460186470773911E-003                  1.7903433092486637E-001                  3.7323672476880518E+000                                        0                                        5 
