                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-macos-24.7.1"                                 "CRMATH"                               "20250113"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                    3045                                     1704                  8.1850502343994603E+006                 -1.8001339627492088E+000                  6.5581472123137567E+000                  3.4115287071516519E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0691046906043811E-001                  4.8593731471075402E-001                  4.7591767766967225E-001                  3.8289074648724059E-001                  6.3166796804519598E-001                  3.7305226454448381E-001                  8.9758058515837424E-001                  7.2532321592193572E-001                  1.2798410771006202E-001                  4.7126253752272493E+000                  4.6829965741473272E+000                  4.9990994349538802E+000                 -2.5120092992925906E+000                  1.2698804004284267E-001                  4.7126253752272493E+000                  3.3734196525115329E+033                  3.5119231532051104E+033                  5.7993351471250058E+033                  6.4914297801608221E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797035E+000                  2.2076215525234044E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7668251314944583E+000                  5.6298503131579869E+000                  2.8039280544545742E+000                 -3.5300732045016836E-001                  0.0000000000000000E+000                  2.1269583525786590E+001                  4.8583427455004395E+000                  8.6847455992644171E+000                  1.7556944828660712E+000                  5.0000000000000000E-001                  1.4372941744934844E+001                  1.0000010392478628E-099                  4.6187720423445099E-015                  3.5602885710015036E-001                  6.1937853749862726E-001                  1.9220643977761992E-003                  7.7460186470813038E-003                  1.9677806743978901E-001                  3.7410278272849444E+000                                        1                                       10 
                                    3046                                     1676                  8.1850502534123128E+006                 -1.7209527167015839E+000                  6.5391343596253391E+000                  3.4114026171265934E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0867509090619265E-001                  4.8730812857450351E-001                  4.7730143157343491E-001                  3.8437091210626428E-001                  6.3350457352903522E-001                  3.7413693646945673E-001                  9.0019034457041214E-001                  7.2743212861548356E-001                  1.2796468294650376E-001                  4.7126243030568551E+000                  4.6829962999073498E+000                  4.9990987478927709E+000                 -2.5120219403968700E+000                  1.2696859970277696E-001                  4.7126243030568551E+000                  3.3734210952704519E+033                  3.5119244593156343E+033                  5.7993344169643136E+033                  6.4914286773916450E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797151E+000                  2.2076215525234146E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7813332783905729E+000                  5.6607694887034352E+000                  2.7903713484350687E+000                 -3.2715480866174207E-001                  0.0000000000000000E+000                  2.1269584487579898E+001                  4.8583435442999994E+000                  8.6847457630893583E+000                  1.7556944828667811E+000                  4.9999999999999994E-001                  1.4372941744982411E+001                  1.0000010392634626E-099                  4.6187970442230759E-015                  3.5602885709457582E-001                  6.1937853749517791E-001                  1.9220643973799007E-003                  7.7460186470812604E-003                  1.8425307697201501E-001                  3.7349213633879166E+000                                        1                                        5 
                                    3047                                     1665                  8.1850502720414959E+006                 -1.7298061889068592E+000                  6.5205051765325033E+000                  3.4112787154387284E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1041408495734828E-001                  4.8873998636073768E-001                  4.7866508906905891E-001                  3.8510826534388648E-001                  6.3531450579208670E-001                  3.7520585653891431E-001                  9.0276220216324687E-001                  7.2951041334108091E-001                  1.2794660210385461E-001                  4.7126233011908889E+000                  4.6829960651384814E+000                  4.9990981162627932E+000                 -2.5120336842720761E+000                  1.2695050430908522E-001                  4.7126233011908889E+000                  3.3734225071345454E+033                  3.5119257358552037E+033                  5.7993337292037658E+033                  6.4914276359363278E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850796929E+000                  2.2076215525233907E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8000374757344786E+000                  5.6836903395847038E+000                  2.7644233791878925E+000                 -2.7649788704603867E-001                  0.0000000000000000E+000                  2.1269585431845869E+001                  4.8583443271859776E+000                  8.6847459250615398E+000                  1.7556944828674756E+000                  5.0000000000000011E-001                  1.4372941745029010E+001                  1.0000010392787481E-099                  4.6188217587102701E-015                  3.5602885708911380E-001                  6.1937853749179816E-001                  1.9220643968709257E-003                  7.7460186470812058E-003                  1.7198083437465581E-001                  3.7289381247941873E+000                                        1                                        6 
                                    3048                                     1670                  8.1850502869448429E+006                 -1.8267162019149157E+000                  6.5056018300582341E+000                  3.4111793389487836E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1181245098689596E-001                  4.8985976391867719E-001                  4.7976163814382677E-001                  3.8599030332211282E-001                  6.3676991490677071E-001                  3.7606540124603854E-001                  9.0483029336129250E-001                  7.3118161098437950E-001                  1.2793271827006750E-001                  4.7126225300260822E+000                  4.6829958968078085E+000                  4.9990976360575932E+000                 -2.5120426874933584E+000                  1.2693660926821523E-001                  4.7126225300260822E+000                  3.3734236355662829E+033                  3.5119267551616589E+033                  5.7993331955439677E+033                  6.4914268242893596E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797080E+000                  2.2076215525234182E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8224207153134366E+000                  5.7064200470161062E+000                  2.7310217537456771E+000                 -2.1068840106105588E-001                  0.0000000000000000E+000                  2.1269586188405505E+001                  4.8583449546847017E+000                  8.6847460546362925E+000                  1.7556944828680330E+000                  5.0000000000000000E-001                  1.4372941745066301E+001                  1.0000010392909763E-099                  4.6188415315990546E-015                  3.5602885708474402E-001                  6.1937853748909433E-001                  1.9220643964372864E-003                  7.7460186470811616E-003                  1.6216304029677081E-001                  3.7241515339193216E+000                                        1                                        5 
                                    3049                                     1650                  8.1850502988675190E+006                 -1.9236262149229721E+000                  6.4936791528788183E+000                  3.4110996737062635E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1293576523999382E-001                  4.9075923871734106E-001                  4.8064250136481462E-001                  3.8669892301146241E-001                  6.3793905214842839E-001                  3.7675587770299829E-001                  9.0649160110932525E-001                  7.3252409220374171E-001                  1.2792105384116753E-001                  4.7126218838885849E+000                  4.6829957431007756E+000                  4.9990972275890844E+000                 -2.5120502661421367E+000                  1.2692493545726524E-001                  4.7126218838885849E+000                  3.3734245393843621E+033                  3.5119275724717839E+033                  5.7993327528676584E+033                  6.4914261543328102E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797231E+000                  2.2076215525234191E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8451185408830213E+000                  5.7231740183421573E+000                  2.6940030882695338E+000                 -1.3744772253397117E-001                  0.0000000000000000E+000                  2.1269586792561849E+001                  4.8583454560959849E+000                  8.6847461578441383E+000                  1.7556944828684780E+000                  4.9999999999999983E-001                  1.4372941745096124E+001                  1.0000010393007592E-099                  4.6188572825827645E-015                  3.5602885708124821E-001                  6.1937853748693128E-001                  1.9220643959557287E-003                  7.7460186470811043E-003                  1.5430880503446581E-001                  3.7203222612195517E+000                                        1                                        5 
                                    3050                                     1659                  8.1850503084056610E+006                 -2.0205362279310282E+000                  6.4841410111352866E+000                  3.4110358361276816E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1383739094468825E-001                  4.9148120140944895E-001                  4.8134952428397548E-001                  3.8726767661836003E-001                  6.3887745757370251E-001                  3.7731008710743430E-001                  9.0782504610471049E-001                  7.3360163178993476E-001                  1.2791078955201751E-001                  4.7126213181325749E+000                  4.6829955882948635E+000                  4.9990968601693284E+000                 -2.5120569583959433E+000                  1.2691466296568896E-001                  4.7126213181325749E+000                  3.3734252642096080E+033                  3.5119282294324106E+033                  5.7993323723800400E+033                  6.4914255838662386E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850796929E+000                  2.2076215525233813E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8675074806149996E+000                  5.7381996294243249E+000                  2.6567380143466610E+000                 -6.3555950474039044E-002                  0.0000000000000000E+000                  2.1269587274062633E+001                  4.8583458556952817E+000                  8.6847462401117514E+000                  1.7556944828688337E+000                  5.0000000000000011E-001                  1.4372941745119991E+001                  1.0000010393085858E-099                  4.6188698378038437E-015                  3.5602885707845155E-001                  6.1937853748520089E-001                  1.9220643954217954E-003                  7.7460186470810505E-003                  1.4802541682462322E-001                  3.7172588430598053E+000                                        1                                        5 
                                    3051                                     1651                  8.1850503160361750E+006                 -2.1174462409390848E+000                  6.4765104977404597E+000                  3.4109846984168641E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1456060361230047E-001                  4.9206030060848932E-001                  4.8191664202337664E-001                  3.8772388629613935E-001                  6.3963017201760086E-001                  3.7775462995863940E-001                  9.0889462997659920E-001                  7.3446594862842896E-001                  1.2790150196044853E-001                  4.7126208091828605E+000                  4.6829954277146824E+000                  4.9990965193452856E+000                 -2.5120630382957012E+000                  1.2690536800827418E-001                  4.7126208091828605E+000                  3.3734258461060428E+033                  3.5119287585897280E+033                  5.7993320375913270E+033                  6.4914250876999632E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797346E+000                  2.2076215525234151E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8889008687298809E+000                  5.7502137439764098E+000                  2.6199582953929399E+000                  9.4921103252263300E-003                  0.0000000000000000E+000                  2.1269587657184761E+001                  4.8583461744253951E+000                  8.6847463049230278E+000                  1.7556944828691188E+000                  5.0000000000000000E-001                  1.4372941745139087E+001                  1.0000010393148466E-099                  4.6188797329944110E-015                  3.5602885707621423E-001                  6.1937853748381633E-001                  1.9220643948327069E-003                  7.7460186470809872E-003                  1.4299870625675143E-001                  3.7148081085320679E+000                                        1                                        5 
                                    3052                                     1636                  8.1850503221405856E+006                 -2.2143562539471411E+000                  6.4704060870245987E+000                  3.4109437448497616E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1514040189447250E-001                  4.9252456206031442E-001                  4.8237129928509015E-001                  3.8808962951703596E-001                  6.4023362182024257E-001                  3.7811101915133127E-001                  9.0975211342418671E-001                  7.3515886986813406E-001                  1.2789324043343328E-001                  4.7126203584949033E+000                  4.6829952708699780E+000                  4.9990962104628105E+000                 -2.5120684632019095E+000                  1.2689709996746076E-001                  4.7126203584949033E+000                  3.3734263131947881E+033                  3.5119291846876757E+033                  5.7993317462740646E+033                  6.4914246600194422E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797080E+000                  2.2076215525233995E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9089905671402740E+000                  5.7601712705168069E+000                  2.5847576618423522E+000                  7.9483841755376428E-002                  0.0000000000000000E+000                  2.1269587962053073E+001                  4.8583464283909539E+000                  8.6847463562149709E+000                  1.7556944828693464E+000                  5.0000000000000000E-001                  1.4372941745154364E+001                  1.0000010393198555E-099                  4.6188875650592751E-015                  3.5602885707442428E-001                  6.1937853748270877E-001                  1.9220643941600668E-003                  7.7460186470809135E-003                  1.3897733780245553E-001                  3.7128475209099028E+000                                        1                                        5 
                                    3053                                     1637                  8.1850503270241143E+006                 -2.3112662669551978E+000                  6.4655225584519105E+000                  3.4109109541677746E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1560502879843948E-001                  4.9289660142226410E-001                  4.8273564323430762E-001                  3.8838272189467565E-001                  6.4071720209655991E-001                  3.7839661504158795E-001                  9.1043926599380587E-001                  7.3571414893707354E-001                  1.2788567339504633E-001                  4.7126199478030291E+000                  4.6829951126969984E+000                  4.9990959216278128E+000                 -2.5120734493712176E+000                  1.2688952700252720E-001                  4.7126199478030291E+000                  3.3734266886734394E+033                  3.5119295287584226E+033                  5.7993314861640261E+033                  6.4914242824679171E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797080E+000                  2.2076215525233946E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9259269243327446E+000                  5.7632298633330992E+000                  2.5524142438655577E+000                  1.4384277088909664E-001                  0.0000000000000000E+000                  2.1269588204083689E+001                  4.8583466302091907E+000                  8.6847463967690572E+000                  1.7556944828695287E+000                  4.9999999999999994E-001                  1.4372941745166576E+001                  1.0000010393238626E-099                  4.6188937585364994E-015                  3.5602885707299237E-001                  6.1937853748182270E-001                  1.9220643933517900E-003                  7.7460186470808268E-003                  1.3576024303902059E-001                  3.7112790508122022E+000                                        1                                        5 
