                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-macos-24.7.1"                                 "CRMATH"                               "20250113"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                    3045                                     1704                  8.1850503136196798E+006                 -1.0219827123655651E+000                  6.5644848298765623E+000                  3.4115706559396855E+001                 -9.9999999999999989E-001                  0.0000000000000000E+000                  6.0632453329435354E-001                  4.8546817129114866E-001                  4.7545820761062052E-001                  3.8252108836731163E-001                  6.3105813039428060E-001                  3.7269210489070081E-001                  8.9671402477657103E-001                  7.2462295972955404E-001                  1.2799097313281799E-001                  4.7126254982979665E+000                  4.6829984301793592E+000                  4.9991003950401520E+000                 -2.5120027295829619E+000                  1.2699490614460388E-001                  4.7126254982979665E+000                  3.3734254982525500E+033                  3.5119283023427665E+033                  5.7993345862407361E+033                  6.4914284428478289E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797124E+000                  2.2076215525234288E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6919339046499737E+000                  5.1638668293349630E+000                  2.7207187662320309E+000                 -1.8616925612474072E-001                  0.0000000000000000E+000                  2.1269587704394691E+001                  4.8583461871391629E+000                  8.6847463350909564E+000                  1.7556944828690284E+000                  4.9999999999999994E-001                  1.4372941745133048E+001                  1.0000010393128666E-099                  4.6188842409466708E-015                  3.5602885707692172E-001                  6.1937853748425409E-001                  1.9220643978353975E-003                  7.7460186470813108E-003                  2.0095306426119808E-001                  3.7430627117986623E+000                                        0                                        7 
                                    3046                                     1697                  8.1850504086839436E+006                 -1.0219827123655651E+000                  6.5549784035323526E+000                  3.4115077175533656E+001                 -9.9999999999999989E-001                  0.0000000000000000E+000                  6.0720386182323716E-001                  4.8616303170413844E-001                  4.7614774587484354E-001                  3.8311820909849564E-001                  6.3197332908239023E-001                  3.7323263124515543E-001                  8.9801449371843045E-001                  7.2567385179508304E-001                  1.2797289172851092E-001                  4.7126242652512600E+000                  4.6829997621023560E+000                  4.9991004005089668E+000                 -2.5120126044722983E+000                  1.2697680589663751E-001                  4.7126242652512600E+000                  3.3734325638326738E+033                  3.5119345693503522E+033                  5.7993331730555662E+033                  6.4914258675710439E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797044E+000                  2.2076215525234257E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6995826790789126E+000                  5.1757807988725046E+000                  2.7113782021429236E+000                 -1.6811751180972770E-001                  0.0000000000000000E+000                  2.1269592667518911E+001                  4.8583502803219183E+000                  8.6847472045631697E+000                  1.7556944828725778E+000                  5.0000000000000000E-001                  1.4372941745370911E+001                  1.0000010393908764E-099                  4.6190168490507775E-015                  3.5602885704904558E-001                  6.1937853746700533E-001                  1.9220643974821496E-003                  7.7460186470812743E-003                  1.9469056902612883E-001                  3.7400088763989325E+000                                        0                                        6 
                                    3047                                     1695                  8.1850505037482064E+006                 -1.0219827123655651E+000                  6.5454719771881438E+000                  3.4114446878237210E+001                 -9.9999999999999989E-001                  0.0000000000000000E+000                  6.0808574456728792E-001                  4.8687638154616075E-001                  4.7683928706406697E-001                  3.8363835515348588E-001                  6.3289118617892526E-001                  3.7377472774181125E-001                  8.9931874017618452E-001                  7.2672779642215590E-001                  1.2795235749934963E-001                  4.7126229020280945E+000                  4.6830010105735855E+000                  4.9991002983394797E+000                 -2.5120241344188838E+000                  1.2695625099158603E-001                  4.7126229020280945E+000                  3.3734396351475714E+033                  3.5119408448637235E+033                  5.7993316906926204E+033                  6.4914232010665422E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797151E+000                  2.2076215525234324E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7062935706178215E+000                  5.1774645232870080E+000                  2.6987982812723583E+000                 -1.4358796736504129E-001                  0.0000000000000000E+000                  2.1269597625927773E+001                  4.8583543664398885E+000                  8.6847480758607425E+000                  1.7556944828761276E+000                  5.0000000000000000E-001                  1.4372941745608788E+001                  1.0000010394688923E-099                  4.6191497288072196E-015                  3.5602885702116727E-001                  6.1937853744975491E-001                  1.9220643970411502E-003                  7.7460186470812240E-003                  1.8842807379106191E-001                  3.7369550410003378E+000                                        0                                        6 
                                    3048                                     1678                  8.1850505988124702E+006                 -1.0219827123655651E+000                  6.5359655508439349E+000                  3.4113815664852318E+001                 -9.9999999999999989E-001                  0.0000000000000000E+000                  6.0897019267166030E-001                  4.8758476397421174E-001                  4.7753283991792234E-001                  3.8419592989198331E-001                  6.3381171328368135E-001                  3.7431840123284227E-001                  9.0062678063278412E-001                  7.2778480693043179E-001                  1.2792827394488571E-001                  4.7126213516288704E+000                  4.6830021378758726E+000                  4.9991000408307666E+000                 -2.5120380592609575E+000                  1.2693214410988138E-001                  4.7126213516288704E+000                  3.3734467142683178E+033                  3.5119471325487344E+033                  5.7993301081339706E+033                  6.4914204022750096E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797106E+000                  2.2076215525234333E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7131382402456685E+000                  5.1772905867709786E+000                  2.6850219737586483E+000                 -1.1666656572251806E-001                  0.0000000000000000E+000                  2.1269602577471723E+001                  4.8583584547966421E+000                  8.6847489393570036E+000                  1.7556944828796772E+000                  5.0000000000000000E-001                  1.4372941745846688E+001                  1.0000010395469144E-099                  4.6192814491637192E-015                  3.5602885699328674E-001                  6.1937853743250348E-001                  1.9220643961052159E-003                  7.7460186470811225E-003                  1.8216557855599802E-001                  3.7339012056031513E+000                                        0                                        6 
                                    3049                                     1682                  8.1850506938767331E+006                 -1.0219827123655651E+000                  6.5264591244997252E+000                  3.4113183532712164E+001                 -9.9999999999999989E-001                  0.0000000000000000E+000                  6.0985721734645226E-001                  4.8829515242431082E-001                  4.7822841322697429E-001                  3.8475518967277772E-001                  6.3473492206404580E-001                  3.7486365858111298E-001                  9.0193863166722454E-001                  7.2884489671718111E-001                  1.2790090157742989E-001                  4.7126196279553314E+000                  4.6830031530012333E+000                  4.9990996395170413E+000                 -2.5120542032655533E+000                  1.2690474595833237E-001                  4.7126196279553314E+000                  3.3734538007069406E+033                  3.5119534315466763E+033                  5.7993284327230268E+033                  6.4914174810284016E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797097E+000                  2.2076215525234328E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7210127402206776E+000                  5.1783194355572055E+000                  2.6697873982017448E+000                 -8.6829546748864173E-002                  0.0000000000000000E+000                  2.1269607522662508E+001                  4.8583625373098531E+000                  8.6847498022437630E+000                  1.7556944828832273E+000                  5.0000000000000000E-001                  1.4372941746084605E+001                  1.0000010396249427E-099                  4.6194130774248457E-015                  3.5602885696540398E-001                  6.1937853741525040E-001                  1.9220643941322342E-003                  7.7460186470809118E-003                  1.7590308332094060E-001                  3.7308473702076093E+000                                        0                                        5 
                                    3050                                     1662                  8.1850507889409969E+006                 -1.0219827123655651E+000                  6.5169526981555164E+000                  3.4112550479138285E+001                 -9.9999999999999989E-001                  0.0000000000000000E+000                  6.1074682986716156E-001                  4.8900757149184143E-001                  4.7892601583306699E-001                  3.8531613905976020E-001                  6.3566082425547454E-001                  3.7541050671336335E-001                  9.0325430995522671E-001                  7.2990807925783641E-001                  1.2786935292339416E-001                  4.7126176847614101E+000                  4.6830040256784207E+000                  4.9990990558563064E+000                 -2.5120731652639399E+000                  1.2687316840031251E-001                  4.7126176847614101E+000                  3.3734608961375135E+033                  3.5119597448246579E+033                  5.7993266393949206E+033                  6.4914144046775480E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850796742E+000                  2.2076215525233955E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7293556708310569E+000                  5.1784205090094879E+000                  2.6531520737071270E+000                 -5.4191951333504781E-002                  0.0000000000000000E+000                  2.1269612459765334E+001                  4.8583666136797454E+000                  8.6847506632726574E+000                  1.7556944828867771E+000                  5.0000000000000000E-001                  1.4372941746322535E+001                  1.0000010397029769E-099                  4.6195444280182356E-015                  3.5602885693751907E-001                  6.1937853739799609E-001                  1.9220643900517091E-003                  7.7460186470804720E-003                  1.6964058808589669E-001                  3.7277935348140114E+000                                        0                                        5 
                                    3051                                     1672                  8.1850508840052607E+006                 -1.0219827123655651E+000                  6.5074462718113084E+000                  3.4111916501440490E+001                 -9.9999999999999989E-001                  0.0000000000000000E+000                  6.1163904157519644E-001                  4.8972204260750718E-001                  4.7962565662973189E-001                  3.8587877473152560E-001                  6.3658943166202175E-001                  3.7595895259015977E-001                  9.0457383226997945E-001                  7.3097436810659644E-001                  1.2783394603055523E-001                  4.7126155388674889E+000                  4.6830047667847587E+000                  4.9990983038031525E+000                 -2.5120947307067492E+000                  1.2683772972101151E-001                  4.7126155388674889E+000                  3.3734679999630982E+033                  3.5119660713318961E+033                  5.7993247371400058E+033                  6.4914111850980062E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797009E+000                  2.2076215525234004E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7391744850278279E+000                  5.1802167237038885E+000                  2.6344125526607853E+000                 -1.7346886938615951E-002                  0.0000000000000000E+000                  2.1269617389413661E+001                  4.8583706846659211E+000                  8.6847515223566365E+000                  1.7556944828903278E+000                  5.0000000000000000E-001                  1.4372941746560491E+001                  1.0000010397810170E-099                  4.6196754882216166E-015                  3.5602885690963199E-001                  6.1937853738074033E-001                  1.9220643822981298E-003                  7.7460186470796350E-003                  1.6337809285087895E-001                  3.7247396994226740E+000                                        0                                        6 
                                    3052                                     1662                  8.1850509790695235E+006                 -1.0219827123655651E+000                  6.4979398454670987E+000                  3.4111281596916783E+001                 -9.9999999999999989E-001                  0.0000000000000000E+000                  6.1253386387830844E-001                  4.9043858299318099E-001                  4.8032734456252363E-001                  3.8644309563853352E-001                  6.3752075615679149E-001                  3.7650900321722214E-001                  9.0589721548279789E-001                  7.3204377689695077E-001                  1.2779450699008330E-001                  4.7126131813210854E+000                  4.6830053704069758E+000                  4.9990973758710515E+000                 -2.5121190169686556E+000                  1.2679825588148785E-001                  4.7126131813210854E+000                  3.3734751125132353E+033                  3.5119724116557940E+033                  5.7993227210512341E+033                  6.4914078159479861E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850797231E+000                  2.2076215525234404E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7505481865515846E+000                  5.1824849381987868E+000                  2.6127992568607210E+000                  2.5244800137803697E-002                  0.0000000000000000E+000                  2.1269622311272983E+001                  4.8583747490912543E+000                  8.6847523801896997E+000                  1.7556944828938790E+000                  5.0000000000000000E-001                  1.4372941746798466E+001                  1.0000010398590633E-099                  4.6198063608913263E-015                  3.5602885688174274E-001                  6.1937853736348325E-001                  1.9220643682114195E-003                  7.7460186470781180E-003                  1.5711559761590449E-001                  3.7216858640338439E+000                                        0                                        6 
                                    3053                                     1668                  8.1850510741337873E+006                 -1.0219827123655651E+000                  6.4884334191228898E+000                  3.4110645762853302E+001                 -9.9999999999999989E-001                  0.0000000000000000E+000                  6.1343130825110592E-001                  4.9115720736959906E-001                  4.8103108862942040E-001                  3.8700910247112458E-001                  6.3845480968247248E-001                  3.7706066564672441E-001                  9.0722447656387750E-001                  7.3311631934229138E-001                  1.2775105897471933E-001                  4.7126106134677181E+000                  4.6830058373589338E+000                  4.9990962731494415E+000                 -2.5121460084488203E+000                  1.2675477007155661E-001                  4.7126106134677181E+000                  3.3734822337456485E+033                  3.5119787657249881E+033                  5.7993205917870262E+033                  6.4914042981533908E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.0926213850796929E+000                  2.2076215525233955E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7642782519924172E+000                  5.1856803709238681E+000                  2.5869368423415962E+000                  7.6333795112570060E-002                  0.0000000000000000E+000                  2.1269627225354583E+001                  4.8583788110628259E+000                  8.6847532333516675E+000                  1.7556944828974295E+000                  5.0000000000000000E-001                  1.4372941747036455E+001                  1.0000010399371158E-099                  4.6199365379204354E-015                  3.5602885685385133E-001                  6.1937853734622483E-001                  1.9220643460431766E-003                  7.7460186470757267E-003                  1.5085310238100222E-001                  3.7186320286478676E+000                                        0                                        6 
