                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.11.1"                               "gfortran"                                 "12.2.0"                   "x86_64-macos-22.10.1"                                 "CRMATH"                               "20240613"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                     2415                  6.3550064784089166E+001                  1.8031159976179276E+000                  1.8999999815283889E+001                  3.4577259507091334E+001                 -8.5366112255349460E+000                  8.4931135522393877E+000                  4.4642407862932232E-001                  7.8129300336016012E-008                  9.9999999517126303E-001                  9.9999996701182403E-001                  4.5501908449623851E-001                  7.8129300336016012E-008                  9.9818529335157136E-001                  9.9788297193900566E-001                  4.6814149966688223E+000                 -2.8277580043612680E+001                 -9.8999999999999986E+001                  4.6814149966688214E+000                  2.5332807508650821E+000                  4.6783161608868147E+000                 -2.8277580043612680E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5963830154280854E+033                  1.5805348338658033E+034                  1.6926374061381868E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1169694901835821E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5314574729814625E+000                  4.5907674384755985E+000                  7.5512193413936990E-001                  4.2065773557550541E+000                  0.0000000000000000E+000                  1.6434295047753562E+001                  6.8993752791665020E-001                  7.5476715490763295E+000                  6.1729540596413512E-001                  8.4955444402457070E-001                  1.2980008955283011E+000                  6.9910862371076132E-001                  2.8034711604541596E-001                  1.3960669350546182E-004                  9.3185632524841397E-003                  3.4468833607860789E-003                  9.3805276451495428E-003                  1.3292332171890875E+001                  5.3226723356025607E+000                                        0                                        6 
                                       2                                     1504                  1.3981014252499614E+002                  1.8822972436655525E+000                  1.8999999614243894E+001                  3.4577259502496041E+001                 -8.5790147751928210E+000                  7.0585364767167755E+000                  3.7023498407354227E-001                  7.8129303208467327E-008                  9.9999999456861233E-001                  9.9999996495816834E-001                  3.7023498407354227E-001                  7.8129303208467327E-008                  9.9868981625263575E-001                  9.9859177026542156E-001                  4.6570255972802697E+000                 -2.8288192911715708E+001                 -9.8999999999999986E+001                  4.6570255972802688E+000                  2.5081553708755608E+000                  4.6539320272500762E+000                 -2.8288192911715708E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4694289121907978E+033                  1.5796341731098666E+034                  1.6932266669010936E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1168164136771345E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5313150728704361E+000                  4.5901129699989571E+000                  7.5507950012310265E-001                  4.2066622191922960E+000                  0.0000000000000000E+000                  1.6433527699501532E+001                  6.8926086372223327E-001                  7.5475413045051054E+000                  6.1729802745686246E-001                  8.4955186109049974E-001                  1.2980081345528274E+000                  6.9910347179723509E-001                  2.8035059301023391E-001                  1.2885097353008675E-004                  9.3179567920478792E-003                  3.4468833607860781E-003                  9.3805276451495376E-003                  1.3292295410008862E+001                  5.3226969017420664E+000                                        0                                        4 
                                       3                                     1083                  2.3132223581408456E+002                  1.9614784897131774E+000                  1.8999999373987382E+001                  3.4577259497004349E+001                 -8.5808033288669225E+000                  7.5438747537561461E+000                  3.9471205841899526E-001                  7.8129302201260767E-008                  9.9999999456952871E-001                  9.9999996494792753E-001                  3.9471205841899526E-001                  7.8129302201260767E-008                  9.9818531653555553E-001                  9.9788299511596801E-001                  4.6345756836849503E+000                 -2.8296402950263708E+001                 -9.8999999999999986E+001                  4.6345756836849494E+000                  2.4831838195757485E+000                  4.6315000873278134E+000                 -2.8296402950263708E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.3601085009212155E+033                  1.5811933009826618E+034                  1.6939190242355651E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1180678764388905E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5312055615804407E+000                  4.5895239928675151E+000                  7.5500403413737271E-001                  4.2068131456720677E+000                  0.0000000000000000E+000                  1.6432831057910924E+001                  6.8866555140426355E-001                  7.5474117859364140E+000                  6.1730062341969716E-001                  8.4954928532619256E-001                  1.2980152727600576E+000                  6.9909833381944730E-001                  2.8035425215992799E-001                  1.1925647996717138E-004                  9.3173199785591305E-003                  3.4468833607860759E-003                  9.3805276451495358E-003                  1.3292253665467651E+001                  5.3227262468506487E+000                                        0                                        3 
                                       4                                     1020                  3.4113674776099066E+002                  2.0406597357608023E+000                  1.8999999086715786E+001                  3.4577259490438010E+001                 -8.5823670449782306E+000                  7.7964776180191659E+000                  4.0975242884010643E-001                  7.8129302205242550E-008                  9.9999999457062583E-001                  9.9999996495212029E-001                  4.0975242884010643E-001                  7.8129302205242550E-008                  9.9721636691931226E-001                  9.9709987644151343E-001                  4.6128714553538721E+000                 -2.8301730512869938E+001                 -9.8999999999999986E+001                  4.6128714553538721E+000                  2.4565308517303892E+000                  4.6098308284483478E+000                 -2.8301730512869938E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.2689324225569375E+033                  1.5488521302302332E+034                  1.5648435275181260E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5807447987046116E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5311174210802143E+000                  4.5889233238496212E+000                  7.5487998062887929E-001                  4.2070612461227137E+000                  0.0000000000000000E+000                  1.6432334467035663E+001                  6.8823305909401677E-001                  7.5473247211041139E+000                  6.1730344367586265E-001                  8.4954646637399767E-001                  1.2980229929187235E+000                  6.9909271025591402E-001                  2.8035847539964065E-001                  1.1004603452883053E-004                  9.3165861557562100E-003                  3.4468833607860828E-003                  9.3805276451495497E-003                  1.3292206190553014E+001                  5.3227613704628567E+000                                        0                                        3 
                                       5                                     1020                  4.7291416209727799E+002                  2.1198409818084269E+000                  1.8999998743207382E+001                  3.4577259482586229E+001                 -8.5839036180675272E+000                  7.9128168354264412E+000                  4.1571057614232781E-001                  7.8129306274401719E-008                  9.9999999457193811E-001                  9.9999996497305454E-001                  4.1571057614232781E-001                  7.8129306274401719E-008                  9.9837940326486729E-001                  9.9822523598567814E-001                  4.5916385684877437E+000                 -2.8302964797242552E+001                 -1.1138109839567303E+001                  4.5916385684877437E+000                  2.4267538976630587E+000                  4.5886573803680291E+000                 -2.8302964797242552E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1476909975554061E+033                  1.5378966402925578E+034                  1.6939489858662661E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1170118079719009E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5310668609135654E+000                  4.5883508303337148E+000                  7.5469485420422244E-001                  4.2074314911202473E+000                  0.0000000000000000E+000                  1.6432140508558266E+001                  6.8803986364770697E-001                  7.5473061083951558E+000                  6.1730667788154281E-001                  8.4954320874883449E-001                  1.2980318042153369E+000                  6.9908621086839773E-001                  2.8036361782610258E-001                  1.0094934250385484E-004                  9.3156936289352284E-003                  3.4468833607860811E-003                  9.3805276451495376E-003                  1.3292152157553181E+001                  5.3228035280519022E+000                                        0                                        2 
                                       6                                     1020                  6.3104705930082275E+002                  2.1990222278560516E+000                  1.8999998332306539E+001                  3.4577259473194019E+001                 -8.5852851962835768E+000                  7.9529276024707212E+000                  4.1571058513263387E-001                  7.8129306195293117E-008                  9.9999999457350619E-001                  9.9999996501675714E-001                  4.1857517371188435E-001                  7.8129306195293117E-008                  9.9783725996021977E-001                  9.9764436379001720E-001                  4.5719568188487925E+000                 -2.8298902332271521E+001                 -1.0837079843903322E+001                  4.5719568188487925E+000                  2.3935923023072774E+000                  4.5690670448402741E+000                 -2.8298902332271521E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0334308211958893E+033                  1.5274028235207007E+034                  1.6939323298248074E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1174698509493357E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5310673509215809E+000                  4.5878326409991388E+000                  7.5443477952090576E-001                  4.2079516310946712E+000                  0.0000000000000000E+000                  1.6432334129333690E+001                  6.8815137528456161E-001                  7.5473761703315407E+000                  6.1731040032706708E-001                  8.4953942867255439E-001                  1.2980418939530918E+000                  6.9907866802876928E-001                  2.8036990511025228E-001                  9.2286561067818714E-005                  9.3146032078601278E-003                  3.4468833607860846E-003                  9.3805276451495480E-003                  1.3292090452880988E+001                  5.3228543097026408E+000                                        0                                        2 
                                       7                                     1020                  8.2080653594507646E+002                  2.2782034739036767E+000                  1.8999997840513245E+001                  3.4577259461952799E+001                 -8.5864208744242969E+000                  7.9567434958280527E+000                  4.1867698132616565E-001                  7.8129308427363939E-008                  9.9999999457538447E-001                  9.9999996508924505E-001                  4.1867698132616565E-001                  7.8129308427363939E-008                  9.9855802975664953E-001                  9.9848857541456626E-001                  4.5553868120282957E+000                 -2.8288657523861293E+001                 -9.8999999999999986E+001                  4.5553868120282957E+000                  2.3573631306780096E+000                  4.5526253400902608E+000                 -2.8288657523861293E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.9360540101140564E+033                  1.5157608383086678E+034                  1.6938937818143338E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1187778162885100E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5311274851534993E+000                  4.5873780800280102E+000                  7.5408723057150340E-001                  4.2086467177522584E+000                  0.0000000000000000E+000                  1.6432975372624792E+001                  6.8861281803187679E-001                  7.5475498792054934E+000                  6.1731464962522598E-001                  8.4953507730542310E-001                  1.2980533505487182E+000                  6.9906998358775241E-001                  2.8037751821298673E-001                  8.4539256285244557E-005                  9.3132832123075989E-003                  3.4468833607860776E-003                  9.3805276451495428E-003                  1.3292019475099968E+001                  5.3229157335024881E+000                                        0                                        3 
                                       8                                     1019                  1.0485179079181810E+003                  2.3573847199513014E+000                  1.8999997251512486E+001                  3.4577259448489656E+001                 -8.5872688638051535E+000                  7.9388979019761292E+000                  4.1571060877987698E-001                  7.8129311631818724E-008                  9.9999999457771160E-001                  9.9999996519554790E-001                  4.1783679212607033E-001                  7.8129311631818724E-008                  9.9826520067115843E-001                  9.9801737364468945E-001                  4.5427577864099211E+000                 -2.8271630539571170E+001                 -9.8999999999999986E+001                  4.5427577864099211E+000                  2.3172832435387982E+000                  4.5401659652299511E+000                 -2.8271630539571170E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8593909399730975E+033                  1.5080378949188133E+034                  1.6938331735255334E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1209856968535390E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5312526599900256E+000                  4.5869881166151183E+000                  7.5364189919200475E-001                  4.2095373670481075E+000                  0.0000000000000000E+000                  1.6434102825735046E+001                  6.8945224378873926E-001                  7.5478374607395402E+000                  6.1731961698649329E-001                  8.4952995045026947E-001                  1.2980666753562187E+000                  6.9905974912000002E-001                  2.8038690070898931E-001                  7.7860601238063638E-005                  9.3116559342414969E-003                  3.4468833607860776E-003                  9.3805276451495428E-003                  1.3291937064997557E+001                  5.3229903687470070E+000                                        0                                        3 
                                       9                                     1019                  1.3217715542859062E+003                  2.4365659659989261E+000                  1.8999996545598034E+001                  3.4577259432354140E+001                 -8.5878138922434371E+000                  7.9082353263249034E+000                  4.1571062422493593E-001                  7.8129310943569290E-008                  9.9999999458049971E-001                  9.9999996533949465E-001                  4.1571062422493593E-001                  7.8129310943569290E-008                  9.9900868727028158E-001                  9.9868997754873523E-001                  4.5352165424711783E+000                 -2.8247937592022183E+001                 -9.8999999999999986E+001                  4.5352165424711783E+000                  2.2738788889526687E+000                  4.5328307150522047E+000                 -2.8247937592022183E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8103636205454672E+033                  1.5047701223328839E+034                  1.6937524901796163E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1240123260628481E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5314410606900557E+000                  4.5866478927406504E+000                  7.5309498585470913E-001                  4.2106311775871834E+000                  0.0000000000000000E+000                  1.6435701159579168E+001                  6.9065462268279720E-001                  7.5482372408468628E+000                  6.1732541491449411E-001                  8.4952392420447209E-001                  1.2980821570014667E+000                  6.9904771608211203E-001                  2.8039835893396076E-001                  7.2569851570022034E-005                  9.3096669936405460E-003                  3.4468833607860768E-003                  9.3805276451495358E-003                  1.3291840196894841E+001                  5.3230814630841250E+000                                        0                                        3 
