                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-macos-24.7.1"                                 "CRMATH"                               "20250401"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                     970                                     1481                  2.1156544797602404E+007                 -1.9788107009300619E+000                  4.7439341264765345E+000                  3.3974644560213846E+001                 -7.6447250538134197E+000                  2.4005108331545899E+000                  5.0439111519814539E-001                  9.8834841830299378E-008                  9.9999999911245130E-001                  9.9999996667151081E-001                  1.0000000000000000E+000                  9.8834841830299378E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1432593465917527E+000                  4.2216806415769081E+000                  4.1596066254203610E+000                  4.5117805960528745E+000                 -9.6391514920852517E-001                  3.1432254132381994E+000                  4.2216806415769081E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9532443790872652E+033                  3.0643579119945584E+033                  8.6449584441151978E+033                  8.6936589054365926E+033                  9.0469245354695370E+033                  9.1414463515929917E+033                  4.4439299232426279E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6793058439788542E+000                  4.5076046031060493E+000                  4.1784377445981402E-001                  4.2785187282366817E+000                  1.5507346690779430E-006                  1.9202342088525540E+001                  3.0971991453562144E+000                  8.2816399384583494E+000                  1.5844602331834461E+000                  5.0000000000000011E-001                  7.6260341835486960E+000                  0.0000000000000000E+000                  3.0478784661576441E-001                  5.6279188791063595E-001                  1.1522418082062641E-001                  1.5879478693134306E-003                  4.9629599318231172E-003                  1.1334146066949839E-001                  2.8242017013065768E+000                                        0                                        4 
                                     971                                     1477                  2.1156544808627404E+007                 -1.9576214018601237E+000                  4.7439341262266952E+000                  3.3974644560190974E+001                 -7.6447177353580198E+000                  2.4000992900002478E+000                  5.0439111522471092E-001                  9.8834843751049170E-008                  9.9999999911245130E-001                  9.9999996666999114E-001                  1.0000000000000000E+000                  9.8834843751049170E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1432571606447515E+000                  4.2216808659541405E+000                  4.1595990879931817E+000                  4.5117772675177559E+000                 -9.6388964103334984E-001                  3.1432232251271799E+000                  4.2216808659541405E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9532437530229425E+033                  3.0643579230625835E+033                  8.6449584745957665E+033                  8.6936589473597469E+033                  9.0469243416806774E+033                  9.1414534995561050E+033                  4.4439299232426288E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6793035384936816E+000                  4.5076074267905177E+000                  4.1784979727239274E-001                  4.2785066825886524E+000                  1.5759999479795279E-006                  1.9202342130557238E+001                  3.0971991796007692E+000                  8.2816399483010343E+000                  1.5844602382149151E+000                  5.0000000000000011E-001                  7.6260343001033490E+000                  0.0000000000000000E+000                  3.0478783572092205E-001                  5.6279189285994602E-001                  1.1522418573436018E-001                  1.5879478693134302E-003                  4.9629599318231172E-003                  1.1334146034563390E-001                  2.8242016772871454E+000                                        0                                        4 
                                     972                                     1477                  2.1156544820203651E+007                 -1.9364321027901856E+000                  4.7439341259643593E+000                  3.3974644560166958E+001                 -7.6447098017725486E+000                  2.4000023131508397E+000                  5.0439111525259961E-001                  9.8834839416321349E-008                  9.9999999911245130E-001                  9.9999996666833690E-001                  1.0000000000000000E+000                  9.8834839416321349E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1432548546704244E+000                  4.2216811013644833E+000                  4.1595916157212480E+000                  4.5117739684933325E+000                 -9.6386287386511726E-001                  3.1432209168809297E+000                  4.2216811013644833E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9532431075413744E+033                  3.0643579302918423E+033                  8.6449585068358836E+033                  8.6936589917090055E+033                  9.0469241364303151E+033                  9.1414561303031798E+033                  4.4439299232426190E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6793011629457837E+000                  4.5076108800762515E+000                  4.1785627501105638E-001                  4.2784937270873087E+000                  1.6115014585939536E-006                  1.9202342174273802E+001                  3.0971992152920342E+000                  8.2816399584640550E+000                  1.5844602431616772E+000                  5.0000000000000000E-001                  7.6260344146957539E+000                  0.0000000000000000E+000                  3.0478782501092672E-001                  5.6279189770484628E-001                  1.1522419058777401E-001                  1.5879478693134311E-003                  4.9629599318231198E-003                  1.1334146000557561E-001                  2.8242016520668125E+000                                        0                                        4 
                                     973                                     1477                  2.1156544832358714E+007                 -1.9152428037202476E+000                  4.7439341256889005E+000                  3.3974644560141741E+001                 -7.6447004341328322E+000                  2.3999887653294754E+000                  5.0439111528188985E-001                  9.8834843957738748E-008                  9.9999999911245130E-001                  9.9999996666656354E-001                  1.0000000000000000E+000                  9.8834843957738748E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1432524337279020E+000                  4.2216813491750997E+000                  4.1595839285070957E+000                  4.5117705754098418E+000                 -9.6383477727789324E-001                  3.1432184935534484E+000                  4.2216813491750997E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9532424362106309E+033                  3.0643579372244308E+033                  8.6449585406812963E+033                  8.6936590382663290E+033                  9.0469239209621560E+033                  9.1414572104440310E+033                  4.4439299232426350E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6792987247814741E+000                  4.5076150474629042E+000                  4.1786323503300049E-001                  4.2784798070182033E+000                  1.6463293640261642E-006                  1.9202342220203708E+001                  3.0971992528348582E+000                  8.2816399691042371E+000                  1.5844602482406203E+000                  5.0000000000000000E-001                  7.6260345323501513E+000                  0.0000000000000000E+000                  3.0478781401513838E-001                  5.6279190267350099E-001                  1.1522419557693934E-001                  1.5879478693134298E-003                  4.9629599318231190E-003                  1.1334145964851143E-001                  2.8242016255855411E+000                                        0                                        4 
                                     974                                     1477                  2.1156544845121533E+007                 -1.8940535046503095E+000                  4.7439341253996608E+000                  3.3974644560115259E+001                 -7.6446894526711944E+000                  2.3999878162114587E+000                  5.0439111531264025E-001                  9.8834840926135144E-008                  9.9999999911245130E-001                  9.9999996666466140E-001                  1.0000000000000000E+000                  9.8834840926135144E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1432498920983862E+000                  4.2216816096856968E+000                  4.1595759142453419E+000                  4.5117670383555044E+000                 -9.6380528571138613E-001                  3.1432159494203438E+000                  4.2216816096856968E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9532417340638531E+033                  3.0643579444499276E+033                  8.6449585762119978E+033                  8.6936590871412749E+033                  9.0469236947696835E+033                  9.1414576640887363E+033                  4.4439299232426164E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6792962249459453E+000                  4.5076199900411860E+000                  4.1787070599319892E-001                  4.2784648650713271E+000                  1.6804531323278607E-006                  1.9202342268461429E+001                  3.0971992923025375E+000                  8.2816399802669700E+000                  1.5844602535328640E+000                  5.0000000000000000E-001                  7.6260346549456859E+000                  0.0000000000000000E+000                  3.0478780255766219E-001                  5.6279190784918753E-001                  1.1522420077740768E-001                  1.5879478693134289E-003                  4.9629599318231164E-003                  1.1334145927359010E-001                  2.8242015977802692E+000                                        0                                        4 
                                     975                                     1476                  2.1156544858522486E+007                 -1.8728642055803715E+000                  4.7439341250959508E+000                  3.3974644560087455E+001                 -7.6446767240770672E+000                  2.3999873580335973E+000                  5.0439111534493442E-001                  9.8834843699539561E-008                  9.9999999911245130E-001                  9.9999996666262392E-001                  1.0000000000000000E+000                  9.8834843699539561E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1432472238211218E+000                  4.2216818834262373E+000                  4.1595675210038028E+000                  4.5117633342712899E+000                 -9.6377433039845573E-001                  3.1432132785149931E+000                  4.2216818834262373E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9532409981152837E+033                  3.0643579521296473E+033                  8.6449586135104127E+033                  8.6936591384475685E+033                  9.0469234573260312E+033                  9.1414578181265652E+033                  4.4439299232426350E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6792936615730767E+000                  4.5076257522040128E+000                  4.1787871382034958E-001                  4.2784488493892221E+000                  1.7130325456266639E-006                  1.9202342319157637E+001                  3.0971993337678621E+000                  8.2816399919898913E+000                  1.5844602590746961E+000                  5.0000000000000000E-001                  7.6260347833229867E+000                  0.0000000000000000E+000                  3.0478779055985605E-001                  5.6279191326849620E-001                  1.1522420622368618E-001                  1.5879478693134298E-003                  4.9629599318231181E-003                  1.1334145887991788E-001                  2.8242015685848276E+000                                        0                                        4 
                                     976                                     1476                  2.1156544872593492E+007                 -1.8516749065104334E+000                  4.7439341247770450E+000                  3.3974644560058266E+001                 -7.6446621495557538E+000                  2.3999864545579643E+000                  5.0439111537883985E-001                  9.8834842031331875E-008                  9.9999999911245130E-001                  9.9999996666044377E-001                  1.0000000000000000E+000                  9.8834842031331875E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1432444226371032E+000                  4.2216821710173260E+000                  4.1595587177011337E+000                  4.5117594493997668E+000                 -9.6374183923505685E-001                  3.1432104745722360E+000                  4.2216821710173260E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9532402261567980E+033                  3.0643579603678813E+033                  8.6449586526629549E+033                  8.6936591923039250E+033                  9.0469232080784006E+033                  9.1414578065258875E+033                  4.4439299232426208E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6792910308086162E+000                  4.5076323677015333E+000                  4.1788728309803119E-001                  4.2784317108046634E+000                  1.7436364078272282E-006                  1.9202342372409976E+001                  3.0971993773261826E+000                  8.2816400043015008E+000                  1.5844602648872423E+000                  4.9999999999999994E-001                  7.6260349179714231E+000                  0.0000000000000000E+000                  3.0478777797595930E-001                  5.6279191895241176E-001                  1.1522421193620072E-001                  1.5879478693134293E-003                  4.9629599318231198E-003                  1.1334145846655631E-001                  2.8242015379297096E+000                                        0                                        3 
                                     977                                     1476                  2.1156544887368046E+007                 -1.8304856074404952E+000                  4.7439341244421813E+000                  3.3974644560027606E+001                 -7.6446456521649697E+000                  2.3999851468625288E+000                  5.0439111541444281E-001                  9.8834841540114149E-008                  9.9999999911245130E-001                  9.9999996665811519E-001                  1.0000000000000000E+000                  9.8834841540114149E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1432414819816183E+000                  4.2216824731597811E+000                  4.1595494797868424E+000                  4.5117553729149087E+000                 -9.6370773662261944E-001                  3.1432075310209044E+000                  4.2216824731597811E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9532394162112603E+033                  3.0643579692001178E+033                  8.6449586937605667E+033                  8.6936592488356128E+033                  9.0469229464475262E+033                  9.1414576926756867E+033                  4.4439299232426217E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6792883274258985E+000                  4.5076398641311739E+000                  4.1789643807828775E-001                  4.2784134008134949E+000                  1.7720973551803193E-006                  1.9202342428347375E+001                  3.0971994230796773E+000                  8.2816400172337268E+000                  1.5844602709869149E+000                  4.9999999999999994E-001                  7.6260350592711710E+000                  0.0000000000000000E+000                  3.0478776477043351E-001                  5.6279192491707974E-001                  1.1522421793098714E-001                  1.5879478693134287E-003                  4.9629599318231181E-003                  1.1334145803251947E-001                  2.8242015057419345E+000                                        0                                        3 
                                     978                                     1476                  2.1156544902881332E+007                 -1.8092963083705571E+000                  4.7439341240905586E+000                  3.3974644559995419E+001                 -7.6446271674283137E+000                  2.3999838248169518E+000                  5.0439111545182957E-001                  9.8834843165072730E-008                  9.9999999911245130E-001                  9.9999996665563207E-001                  1.0000000000000000E+000                  9.8834843165072730E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1432383949602163E+000                  4.2216827905935510E+000                  4.1595397841133819E+000                  4.5117510946209860E+000                 -9.6367194330691763E-001                  3.1432044409597779E+000                  4.2216827905935510E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9532385663152885E+033                  3.0643579786707656E+033                  8.6449587368985901E+033                  8.6936593081738206E+033                  9.0469226718252117E+033                  9.1414575100985346E+033                  4.4439299232426226E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6792855453927498E+000                  4.5076482668152211E+000                  4.1790620348660701E-001                  4.2783938699646660E+000                  1.7984232779475390E-006                  1.9202342487106257E+001                  3.0971994711378081E+000                  8.2816400308190250E+000                  1.5844602773890901E+000                  5.0000000000000000E-001                  7.6260352075784397E+000                  0.0000000000000000E+000                  3.0478775090998278E-001                  5.6279193117757442E-001                  1.1522422422312856E-001                  1.5879478693134287E-003                  4.9629599318231181E-003                  1.1334145757677225E-001                  2.8242014719448902E+000                                        0                                        3 
