                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-macos-24.7.1"                                 "CRMATH"                               "20250401"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                     337                                      980                  1.5054460309620011E+006                  4.8486585306988204E+000                  1.5999895602592137E+001                  3.4502623059306217E+001                 -8.8299688152268150E+000                  6.3630209291004247E+000                  3.9743406251766628E-001                  7.8129451741517887E-008                  9.9999999333839784E-001                  9.9999996048093565E-001                  5.7718313004480548E-001                  7.8129451741517887E-008                  9.9999999340423840E-001                  9.9999995771224237E-001                  4.3852507303899451E+000                 -2.8826551176748229E+001                  1.0237167804278053E+000                  4.3854395973214491E+000                  1.6929412944238604E+000                  4.3843678207566610E+000                 -2.8826551176748229E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8684099018537317E+033                  1.2003353093006483E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4987040115737411E+000                  4.3850573092017129E+000                  7.1777379231787031E-001                  4.2066371916129377E+000                  8.4923868070523823E-010                  1.6468316252767028E+001                  7.5266640907023752E-001                  7.5372580187040539E+000                  6.2698705544044675E-001                  8.3905230050416812E-001                  1.3229666392178254E+000                  6.7810456541384267E-001                  3.0766325772628333E-001                  7.4612271863020888E-005                  3.1153396254753134E-003                  2.5160005251709965E-003                  6.1025508593623139E-003                  1.1100076546731488E+001                  4.6720673719565085E+000                                        0                                        6 
                                     338                                      980                  1.5795510852501534E+006                  4.8698478297687586E+000                  1.5999785187003821E+001                  3.4502620062221276E+001                 -8.8268174389735545E+000                  6.3613954628540457E+000                  3.9743680523673025E-001                  7.8129992233667455E-008                  9.9999999326257683E-001                  9.9999996024546800E-001                  5.7718711322421368E-001                  7.8129992233667455E-008                  9.9999999386532956E-001                  9.9999995710704692E-001                  4.3870206377339063E+000                 -2.8823951122851849E+001                  1.0255374987360819E+000                  4.3872095267586806E+000                  1.6890727686217579E+000                  4.3861491282368910E+000                 -2.8823951122851849E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8754558264911564E+033                  1.2004772086886197E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4985311533643566E+000                  4.3868364730393257E+000                  7.1900909065544805E-001                  4.2041635978528396E+000                  8.4401878405626676E-010                  1.6466786262102069E+001                  7.5170247599449447E-001                  7.5371901270221375E+000                  6.2795691240640894E-001                  8.3806586782440573E-001                  1.3255565924435639E+000                  6.7613170042272730E-001                  3.0964721951297142E-001                  7.5501636031907217E-005                  3.0282178764619366E-003                  2.5160005251709978E-003                  6.1025508593623131E-003                  1.1081700024982100E+001                  4.6904360250922057E+000                                        0                                        6 
                                     339                                      980                  1.6573613922527134E+006                  4.8910371288386969E+000                  1.5999668351370889E+001                  3.4502616890850199E+001                 -8.8234618132420621E+000                  6.3596794363868607E+000                  3.9743970747068175E-001                  7.8130563748750447E-008                  9.9999999329944778E-001                  9.9999996015744674E-001                  5.7719132806293516E-001                  7.8130563748750447E-008                  9.9999999381397664E-001                  9.9999995779709072E-001                  4.3888903237678170E+000                 -2.8820269717316673E+001                  1.0274565972544765E+000                  4.3890792342802634E+000                  1.6850888640088517E+000                  4.3880304935661432E+000                 -2.8820269717316673E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8829414370601055E+033                  1.2006364648694521E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4983569325567414E+000                  4.3887150339703407E+000                  7.2029681273618396E-001                  4.2015849823202940E+000                  8.5595005788008817E-010                  1.6465239412128092E+001                  7.5073649985950575E-001                  7.5371350490557179E+000                  6.2898275947463544E-001                  8.3702584776256372E-001                  1.3282984643112596E+000                  6.7405166069527211E-001                  3.1173846829609680E-001                  7.6402623773895863E-005                  2.9402328815553015E-003                  2.5160005251709970E-003                  6.1025508593623113E-003                  1.1062324960082710E+001                  4.7097978646848322E+000                                        0                                       10 
                                     340                                      980                  1.7390622146054013E+006                  4.9122264279086343E+000                  1.5999544661670798E+001                  3.4502613533407988E+001                 -8.8198928914265675E+000                  6.3578879733653428E+000                  3.9441843934420956E-001                  7.8131166163887303E-008                  9.9999999320983957E-001                  9.9999995991757296E-001                  5.7719579022881240E-001                  7.8131166163887303E-008                  9.9999999386468674E-001                  9.9999995588433677E-001                  4.3908673738329949E+000                 -2.8815426817180445E+001                  1.0294815526850236E+000                  4.3910563051800553E+000                  1.6809837183093470E+000                  4.3900195131098885E+000                 -2.8815426817180445E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8908920521910881E+033                  1.2008136291848596E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4981812813806679E+000                  4.3907006474905756E+000                  7.2164092184844975E-001                  4.1988934066535526E+000                  8.5171900955166063E-010                  1.6463676493002705E+001                  7.4976993194782537E-001                  7.5370938839651771E+000                  6.3006829244497142E-001                  8.3592905605234591E-001                  1.3312025479048029E+000                  6.7185807769993466E-001                  3.1394336303649245E-001                  7.7314805772538223E-005                  2.8514612883515519E-003                  2.5160005251709935E-003                  6.1025508593623061E-003                  1.1041891981766787E+001                  4.7302117426549959E+000                                        0                                       10 
                                     341                                      984                  1.8248480780757237E+006                  4.9334157269785726E+000                  1.5999413646486369E+001                  3.4502609977093989E+001                 -8.8160940944301593E+000                  6.3559743279127741E+000                  3.9442166913785931E-001                  7.8131805956378543E-008                  9.9999999328873801E-001                  9.9999995997117264E-001                  5.7720051674033312E-001                  7.8131805956378543E-008                  9.9999999383620786E-001                  9.9999995752071058E-001                  4.3929671564333468E+000                 -2.8809312425143261E+001                  1.0316275952829759E+000                  4.3931561079016106E+000                  1.6767539685006920E+000                  4.3921315748734244E+000                 -2.8809312425143261E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8993469351521187E+033                  1.2010076516920540E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4980048968651332E+000                  4.3928088085197237E+000                  7.2304777139409282E-001                  4.1960761512482705E+000                  8.7449586964643564E-010                  1.6462101753278361E+001                  7.4880765999827015E-001                  7.5370681701453188E+000                  6.3121752832202549E-001                  8.3477206454737463E-001                  1.3342800583315233E+000                  6.6954409514521873E-001                  3.1626875004536165E-001                  7.8237837525864013E-005                  2.7619831507009886E-003                  2.5160005251709961E-003                  6.1025508593623070E-003                  1.1020337169672231E+001                  4.7517410202518615E+000                                        0                                       10 
                                     342                                      985                  1.9149232347195621E+006                  4.9546050260485108E+000                  1.5999274786910515E+001                  3.4502606207817784E+001                 -8.8120291916775528E+000                  6.3537163872823621E+000                  3.9442509236962436E-001                  7.8132483051494792E-008                  9.9999999332842815E-001                  9.9999995983148904E-001                  5.7480200638889556E-001                  7.8132483051494792E-008                  9.9999999333811052E-001                  9.9999995707026945E-001                  4.3951872133223189E+000                 -2.8801870251168950E+001                  1.0338925431074557E+000                  4.3953761843183496E+000                  1.6722477755521410E+000                  4.3943644855221091E+000                 -2.8801870251168950E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9082581504029790E+033                  1.2012127626770202E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4978243398570630E+000                  4.3950353668659794E+000                  7.2452216458336061E-001                  4.1931235955935238E+000                  8.7978451874452316E-010                  1.6460504804188638E+001                  7.4784370431511460E-001                  7.5370580584424474E+000                  6.3243986619597004E-001                  8.3354614750187817E-001                  1.3375567165562721E+000                  6.6709226155578683E-001                  3.1873211547198105E-001                  7.9174727448575618E-005                  2.6715281013897883E-003                  2.5160005251709948E-003                  6.1025508593623122E-003                  1.0997592577400791E+001                  4.7744529902266022E+000                                        0                                       10 
                                     343                                      986                  2.0095021491955924E+006                  4.9757943251184491E+000                  1.5999127529890156E+001                  3.4502602210561250E+001                 -8.8077183165192601E+000                  6.3512398239129686E+000                  3.9442872268407508E-001                  7.8133203525477374E-008                  9.9999999324232935E-001                  9.9999995966520561E-001                  5.7480729690430699E-001                  7.8133203525477374E-008                  9.9999999386098193E-001                  9.9999995637080896E-001                  4.3975329800658125E+000                 -2.8793017446505427E+001                  1.0362811944488848E+000                  4.3977219697187291E+000                  1.6677133461455311E+000                  4.3967231954781143E+000                 -2.8793017446505427E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9176975834611415E+033                  1.2014382151613324E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4976416355648334E+000                  4.3973886721719690E+000                  7.2606422582081476E-001                  4.1900354758620821E+000                  8.8545536232960000E-010                  1.6458890895255770E+001                  7.4688087198549946E-001                  7.5370652737902004E+000                  6.3373523303068213E-001                  8.3225220617125950E-001                  1.3410329515036419E+000                  6.6450437941389429E-001                  3.2133159750323009E-001                  8.0121134852166544E-005                  2.5805630188444786E-003                  2.5160005251709987E-003                  6.1025508593623165E-003                  1.0973585492760847E+001                  4.7984197268816242E+000                                        0                                       10 
                                     344                                      984                  2.1088100093954243E+006                  4.9969836241883874E+000                  1.5998971270202182E+001                  3.4502597968889226E+001                 -8.8031366714359613E+000                  6.3486157900032083E+000                  3.9443257501358253E-001                  7.8133964523216055E-008                  9.9999999314558685E-001                  9.9999995951621323E-001                  5.7481291096581921E-001                  7.8133964523216055E-008                  9.9999999374695381E-001                  9.9999995614258030E-001                  4.4000126867365976E+000                 -2.8782659636092895E+001                  1.0388017988002483E+000                  4.4002016941837088E+000                  1.6630259615876124E+000                  4.3992161683883744E+000                 -2.8782659636092895E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9276960718172349E+033                  1.2016854576280236E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4974563683743840E+000                  4.3998755919743999E+000                  7.2767822010292882E-001                  4.1868032456258302E+000                  8.9100157203864513E-010                  1.6457259775244857E+001                  7.4591983974044074E-001                  7.5370911362011883E+000                  6.3510873361608655E-001                  8.3088604168671409E-001                  1.3447231488400988E+000                  6.6177205099621972E-001                  3.2407558140252840E-001                  8.1076534195302232E-005                  2.4891878700292144E-003                  2.5160005251709983E-003                  6.1025508593623139E-003                  1.0948237928385840E+001                  4.8237185042899302E+000                                        0                                       10 
                                     345                                      984                  2.2130832626052480E+006                  5.0181729232583248E+000                  1.5998805348806266E+001                  3.4502593464904621E+001                 -8.7982705304316955E+000                  6.3458593445189688E+000                  3.9443666561922858E-001                  7.8134778966297059E-008                  9.9999999314021482E-001                  9.9999995905548023E-001                  5.7481887227096184E-001                  7.8134778966297059E-008                  9.9999999362525593E-001                  9.9999995651961471E-001                  4.4026348943775435E+000                 -2.8770698045326867E+001                  1.0414627914477219E+000                  4.4028239187011922E+000                  1.6581719929468661E+000                  4.4018519826349429E+000                 -2.8770698045326867E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9382832467675378E+033                  1.2019557466075657E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4972688703050183E+000                  4.4025046964284256E+000                  7.2936776846867402E-001                  4.1834196449097334E+000                  8.7789587408310562E-010                  1.6455611138010386E+001                  7.4496135218747916E-001                  7.5371370309194621E+000                  6.3656591866282153E-001                  8.2944314617411374E-001                  1.3486430018227360E+000                  6.5888626055556043E-001                  3.2697306967145101E-001                  8.2040345983185332E-005                  2.3975085074764346E-003                  2.5160005251709974E-003                  6.1025508593623131E-003                  1.0921466151145648E+001                  4.8504322820047978E+000                                        0                                       10 
